Chapter,BeatID,Sequence,Location,Characters,BeatType,Objective,Conflict,KeyLie,ChristConnection,VerseAnchor,GameplayTrigger,Output
Prologue,P-01,1,Feast Square,"Elior; Junia; Beth-Tikvah Assembly",Opening,Establish home and blessing,None yet,,"Creation through the Word","John 1:1-4",Opening cutscene,Player bonds with Beth-Tikvah
Prologue,P-02,2,Lamp Pavilion,"Elior; Junia; Crowd; Rift Herald",Inciting Incident,Trigger time fracture,Rift tears open,"Creation is unloved","Implied through Word theology","Colossians 1:16-17",Relic interaction,Time fracture begins
Prologue,P-03,3,Threshold of Testimony,"Elior; Junia; Micah; Keeper",Revelation,Define main mission,Fear and confusion,"You are outside the Son","Keeper frames Christ as center of reality","Ephesians 1:4-6",First hub arrival,Quest to restore Fruit begins
Chapter 1,C1-01,1,Garden Edge,"Elior; Junia; Micah",Arrival,Show beauty twisted into anxiety,Relationships built on control,"Love must seize","Christ as better Adam introduced later","Genesis echo / John 1",Enter era,Theme established
Chapter 1,C1-02,2,Whispering Grove,"Party; Garden NPCs",Investigation,Discover social distortion,NPCs fear loss and abandonment,"If you love, possess","Indirect contrast with self-giving love","1 John 4:10",Talk to afflicted NPCs,Era lie named
Chapter 1,C1-03,3,Thorn Verge,"Party; Briar Bridegroom",Villain Confrontation,Meet boss ideology,Boss reframes possession as devotion,"If you loosen your grip, love dies","Counter-image of Christ who gives Himself","John 15:13",Mini-boss or dialogue gate,Boss philosophy established
Chapter 1,C1-04,4,Tree of First Light,"Party; Keeper",Restoration,Restore Fruit of Love,Elior tempted to grasp power,"Take to become complete","Christ gives rather than grasps","Philippians 2:5-8",Boss defeat,Love restored
Chapter 2,C2-01,1,Emberfall Gate,"Elior; Junia; Micah; Cassian",Arrival,Present grief-saturated city,Public despair normalized,"Joy dishonors suffering","Later Meridian echo at wedding feast","John 2:1-11",Enter city,Cassian introduced
Chapter 2,C2-02,2,Field Hospital Nine,"Elior; Cassian",Character Beat,Show Cassian's exhaustion,Cassian doubts delight is still possible,"If God loved us, this would not have happened","Christ enters suffering without surrendering joy","Hebrews 12:2",Healing quest,Cassian arc seeded
Chapter 2,C2-03,3,Furnace of Sorrows,"Party; Lady Lament",Boss Setup,Confront despair as throne,Grief turned into civic liturgy,"Hope betrays the dead","Christ restores honor to joy","Psalm 30:5",Dungeon midpoint,Boss ideology defined
Chapter 2,C2-04,4,House of Refrains,"Party; City survivors",Restoration,Restore Joy,Cassian relearns gladness through hope,"Sorrow is all that remains","Wedding feast Meridian window","John 15:11",Boss defeat,Joy restored and Cassian joins
Chapter 3,C3-01,1,Border of Trumpets,"Party; Mara; rival soldiers",Arrival,Introduce holy war spiral,Two kingdoms claim God exclusively,"Belovedness belongs to winners","Christ blesses peacemakers","Matthew 5:9",Capture event,Mara introduced
Chapter 3,C3-02,2,Hall of Spears,"Party; Twin Claimants",Boss Setup,Expose forged prophecy and sacred rivalry,Each throne feeds on hatred,"God is only with our side","Kingdom of Christ contrasted with domination","John 18:36",Court infiltration,Political lie clarified
Chapter 3,C3-03,3,Valley of Witness Stones,"Party; Mara; enemy envoys",Restoration,Enact peace through truth,Peace looks like weakness,"Only conquest proves favor","Peacemaking tied to Christ's kingdom","Ephesians 2:14",Boss defeat,Peace restored and Mara joins
Chapter 4,C4-01,1,Camp of the Unfinished Journey,"Party; Tirzah; pilgrims",Arrival,Show a people worn down by delay,Unanswered waiting breeds cynicism,"Delay means abandonment","Christ in wilderness to be shown","Psalm 27:13-14",Enter desert,Tirzah introduced
Chapter 4,C4-02,2,Mount of Long Night,"Elior; Tirzah",Character Beat,Deepen endurance theme,Elior considers shortcuts,"If help has not come, it never will","Christ refuses false shortcuts","Matthew 4:1-11",Night watch sequence,Elior tested
Chapter 4,C4-03,3,Wells of Promise,"Party; Sandclock Prophet",Boss Setup,Confront panic theology,False prophecy weaponizes urgency,"God's silence is rejection","Wilderness temptation Meridian window","Isaiah 40:31",Desert dungeon,Boss ideology revealed
Chapter 4,C4-04,4,Dawn Springs,"Party; pilgrims",Restoration,Restore Patience,People must wait through the final night,"Take the mirage, not the promise","Christ's faithful endurance reflected","Romans 8:25",Boss defeat,Patience restored and Tirzah joins
Chapter 5,C5-01,1,River of Beloved Naming,"Party; Keeper",Meridian Revelation,Reveal beloved identity in the Son,Party must witness rather than act,"You are cut off from the Son","Voice over Yeshua at the waters","Matthew 3:17",Meridian window unlock,Core identity truth revealed
Chapter 5,C5-02,2,Threshold of Testimony,"Party",Reflection,Reframe whole campaign around union with Christ,Elior struggles to receive truth,"Belovedness must be earned","Belovedness shared through the Beloved Son","Ephesians 1:6",Post-scene hub,New truth-tech branch unlocked
Chapter 6,C6-01,1,Brass Harbor,"Party; Matthias; debtors",Arrival,Show transactional empire,Human worth reduced to ledgers,"Your value is what you owe","Christ welcomes the unworthy","Luke 5:29-32",Enter Iron Market,Matthias introduced
Chapter 6,C6-02,2,Debt Archives,"Party; Matthias",Investigation,Expose legal idolatry,Order depends on exploitation,"Mercy is weakness","Christ's kindness toward outcasts","Titus 3:4-5",Archive quest,Kindness theme grounded
Chapter 6,C6-03,3,Scales of Brass,"Party; Mammon's Bailiff",Boss Setup,Confront empire of measurement,Bailiff moralizes debt,"You must repay to belong","Release and table fellowship in Christ","Luke 4:18-19",Boss arena access,Main lie made explicit
Chapter 6,C6-04,4,House of Release,"Party; freed debtors",Restoration,Restore Kindness,System must be broken not merely softened,"Mercy must be priced","Christ's welcome redefines worth","Romans 5:8",Boss defeat,Kindness restored and Matthias joins
Chapter 7,C7-01,1,Sanctuary of Stone,"Party; Jonan",Arrival,Present magnificent but dead religion,Beauty masks corruption,"You are loved only if flawless","Christ as true Temple","John 2:19",Temple entry,Jonan introduced
Chapter 7,C7-02,2,Library of Dust,"Party; Jonan",Investigation,Recover hidden truth,Fear and performance sustain institution,"Weakness forfeits love","Christ confronts hypocrisy","Matthew 23",Hidden archive found,Goodness theme deepened
Chapter 7,C7-03,3,White Court,"Party; Whitewashed High Priest",Boss Setup,Confront weaponized holiness,Public shame controls the weak,"Perform purity or be cast out","Temple cleansing Meridian echo","Romans 8:1",Boss prelude,Accusation system tutorial escalates
Chapter 7,C7-04,4,Hidden Spring Chapel,"Party; remnant faithful",Restoration,Restore Goodness,Living holiness must surface,"Righteousness is costume","Christ makes righteous and exposes falsehood","2 Corinthians 5:21",Boss defeat,Goodness restored and Jonan joins
Chapter 8,C8-01,1,Court of Covenant Ruin,"Party; Selah",Arrival,Show betrayal as social law,Trust has collapsed,"Everyone breaks","Christ anchors the new covenant","Luke 22:20",Court arrival,Selah introduced
Chapter 8,C8-02,2,Chamber of Witness Song,"Party; Selah",Character Beat,Use song to reveal hidden vows,Memory itself resists betrayal,"Love never lasts","Covenant fulfilled in Christ","Hebrews 10:23",Song ritual,Faithfulness theme sharpened
Chapter 8,C8-03,3,Bridge of Oaths,"Party; King Oathbreak",Boss Setup,Confront cynicism as sovereignty,Ruler sanctifies treachery,"God also abandons","Last Supper Meridian window","Lamentations 3:22-23",Bridge collapse setpiece,Boss philosophy surfaced
Chapter 8,C8-04,4,Covenant Hall,"Party; citizens",Restoration,Restore Faithfulness,Public vow-keeping breaks fear cycle,"Covenant is for fools","Christ keeps covenant where humans fail","2 Timothy 2:13",Boss defeat,Faithfulness restored and Selah joins
Chapter 9,C9-01,1,Arena of Teeth,"Party; Azarel; captives",Arrival,Show spectacle civilization,Strength equals legitimacy,"If you are favored, dominate","Christ's meek kingship","Matthew 11:29",Arena registration,Azarel introduced
Chapter 9,C9-02,2,Kennels of Bronze,"Elior; Azarel",Character Beat,Refine zeal into holy restraint,Azarel confuses power with proof,"Conquer to prove sonship","Yeshua before Pilate","John 18:37",Prisoner rescue,Azarel arc seeded
Chapter 9,C9-03,3,Victor's Causeway,"Party; Beast-Lord of Iron",Boss Setup,Confront domination theology,Crowd worships cruelty,"Mercy is impotence","Meek King imagery","Isaiah 42:2-3",Arena gauntlet,Boss lie explicit
Chapter 9,C9-04,4,Field of the Tamed,"Party; former captives",Restoration,Restore Gentleness,Refuse needless killing,"Only violence matters","Christ's power without domination","Philippians 2:5-11",Boss defeat,Gentleness restored and Azarel joins
Chapter 10,C10-01,1,Palace of Glass,"Party",Arrival,Show self-invention utopia,Desire governs identity,"No father has named you","Christ names and calls","John 10:3",Enter Mirror Citadel,Self-control theme established
Chapter 10,C10-02,2,Hall of Many Selves,"Full party",Character Crisis,Each hero sees counterfeit ideal selves,Personal wounds weaponized,"Make yourself","Christ resists self-making in temptation","Matthew 4:1-11",Mirror trials,Party inner arcs peak
Chapter 10,C10-03,3,Mirror Throne,"Party; Mirror King",Boss Setup,Confront false freedom,Autonomy masquerades as liberation,"Construct yourself to be loved","Abide in Me as counter-image","John 15:4-5",Boss arena unlock,Mirror King's doctrine exposed
Chapter 10,C10-04,4,Garden of Infinite Reflections,"Party",Restoration,Restore Self-control,Party rejects false selves,"You are useful, not beloved","Identity rooted in Christ","Colossians 3:3",Boss defeat,Self-control restored
Chapter 11,C11-01,1,Gethsemane,Party witness,Sacred Witness,Behold obedience under sorrow,The party cannot intervene,"God would never give Himself","Prayer and surrender of Christ","Luke 22:42",Meridian deep access,Cross arc begins
Chapter 11,C11-02,2,Hill of the Skull,Party witness,Sacred Witness,Behold the Cross,Serpent's violence appears to triumph,"You are forsaken","Christ bears sin and accusation","Isaiah 53 / Romans 5:8",Cinematic only,Theological center fixed
Chapter 11,C11-03,3,Empty Tomb,Party witness,Sacred Witness,Behold Resurrection,Death and accusation lose finality,"Death keeps what God loves","Resurrection victory","1 Corinthians 15:54-57",Meridian completion,No-condemnation branch opens
Chapter 12,C12-01,1,Upper Room,Party witness,Sacred Witness,Show gifts flowing from Christ,Power could be misread as self-possession,"Power is yours to own","Spirit poured out by risen Christ","Acts 2:1-4",Meridian completion,Gifts reinterpreted Christologically
Chapter 12,C12-02,2,Threshold of Testimony,Full party,Reflection,Unlock companion gift quests,Party must understand service over self,"Your gift is your identity","Spirit gives for witness","1 Corinthians 12:4-7",Hub update,Companion quest arc opens
Chapter 13,C13-01,1,Multiple locations,Companion-specific,Sidequest Arc,Purify each companion gift,Each person faces misuse or wound,Tailored to companion,"Each quest mirrors an aspect of Christ","Varied",Companion quest completion,Ultimate techs and passives unlock
Chapter 14,C14-01,1,Firmament Stair,Full party,Ascent,Move from Earth toward heavenly conflict,Fear of unseen powers resurfaces,"The Serpent truly rules history","Christ above all powers","Ephesians 1:20-23",Late-game ascent begins,World hierarchy clarified
Chapter 14,C14-02,2,Second Heaven strongholds,Full party,Revelation,Show fallen dominions beneath Christ,Visible scars of spiritual war,"Your enemies are ultimate","Christ disarmed powers","Colossians 2:15",Traversal and encounters,Endgame confidence strengthened
Chapter 14,C14-03,3,Threshold of Third Heaven,Full party,Theophanic Reveal,Behold the Lamb's throne from afar,Overwhelm without possession,"You are fighting toward victory","The Lamb reigns now","Revelation 5",Cinematic gate,Final Assurance upgrade unlocked
Chapter 15,C15-01,1,Court of Memory,"Full party; Nahash",Boss Setup,Weaponize memory and shame,Each hero hears tailored accusation,"Your failures define you","No condemnation in Christ","Romans 8:1",Final dungeon mid-boss,Identity war reaches climax
Chapter 15,C15-02,2,Court of Memory,"Elior; Nahash; party",Turning Point,Elior publicly confesses truth,Elior tempted to receive disposable identity,"Chosen tool, not beloved child","Beloved in the Son","Romans 8:15-17",Mid-boss break,No-condemnation truth becomes party anchor
Chapter 16,C16-01,1,Coiled Throne,"Full party; Ancient Serpent",Final Boss,Begin final confrontation,Serpent twists Scripture and memory,"All your truths are borrowed","Victory belongs to the Lamb","Colossians 2:15",Final boss phase 1,Whisperer form engaged
Chapter 16,C16-02,2,Pit of Crowns,"Full party; Ancient Serpent",Final Boss,Counterfeit messianic phase,False belonging and power offered,"Belong without surrender","Christ's kingship versus counterfeit light","John 14:6",Final boss phase 2,Counterfeit form broken
Chapter 16,C16-03,3,Dragon arena,"Full party; Ancient Serpent",Final Boss,Dragon of nations phase,History appears swallowed in coils,"The ages are mine","The Lamb reigns over history","Revelation 12",Final boss phase 3,Serpent's dominion challenged
Chapter 16,C16-04,4,Coiled Throne collapse,Full party,Resolution,Party stands in Christ's victory,Final accusation fails,"You are not beloved","In Christ I am beloved","Romans 8:38-39",Final boss phase 4,Serpent cast down
Epilogue,E-01,1,Beth-Tikvah at dawn,"Elior; Junia; Assembly",Closure,Return to restored world,None,,"Life restored under Christ's reign","2 Corinthians 5:17",Clear save,Hopeful ending established
